transaction_id,user_id,transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,ip_address_flag,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,risk_score,is_weekend,fraud_label,hour,day_of_week,is_night,is_business_hours,is_small_amount,amount_log,is_high_risk,is_low_risk,is_high_frequency,has_recent_failures,suspicious_ip,has_fraud_history,weekend_with_failures
26173,833,39.79,3,93213.17,0,3,4,0,0,7,437.63,3,0,65,883.17,0,0.8494,0,0,19,0,0,0,0,3.708436953329467,1,0,0,1,0,0,0
49365,6849,1.19,1,75725.25,1,2,0,0,0,13,478.76,4,2,186,2203.36,3,0.0959,0,1,4,2,1,0,1,0.7839015438284094,0,1,1,1,0,0,0
11001,1732,28.96,2,1588.96,2,1,3,0,0,14,50.01,4,3,226,1909.29,0,0.84,0,1,15,1,0,1,0,3.3998631586490187,1,0,1,1,0,0,0
2722,1616,254.32,0,76807.2,2,2,0,0,0,8,182.48,4,3,76,1311.86,1,0.7935,0,1,0,3,1,0,0,5.5425176603878565,1,0,0,1,0,0,0
32767,1013,31.28,3,92354.66,1,1,1,0,1,14,328.69,4,2,140,966.98,3,0.3819,1,1,23,5,1,0,0,3.474447843401748,0,0,1,1,0,1,1
36363,5830,168.55,2,33236.94,0,4,3,0,0,3,226.85,2,1,51,1725.64,1,0.0504,0,0,20,0,0,0,0,5.133147868571648,0,1,0,1,0,0,0
917,4040,3.79,3,86834.18,2,0,3,0,0,2,298.35,2,2,168,3757.19,3,0.0875,0,0,1,1,1,0,1,1.5665304114228238,0,1,0,1,0,0,0
43888,3650,7.08,0,45826.27,2,0,3,0,0,3,164.38,4,1,182,1764.66,0,0.5326,1,1,3,5,1,0,1,2.089391872533004,0,0,0,1,0,0,1
34936,583,34.25,0,94392.35,2,4,0,0,0,7,90.02,3,3,24,550.38,0,0.1347,0,0,22,3,1,0,0,3.5624655292582776,0,1,0,1,0,0,0
29955,8462,16.24,3,91859.97,1,1,4,0,0,6,474.42,1,2,124,720.91,2,0.3394,0,0,17,2,0,1,0,2.847232265235547,0,0,0,1,0,0,0
36788,1846,367.5,3,14640.09,0,1,1,0,0,4,397.58,0,0,136,292.36,2,0.643,0,0,7,1,0,0,0,5.909440711629391,0,0,0,0,0,0,0
